File,Camera,Season,Year,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Doe_count,Buck_count,Fawn_count,Comments,Animal_1_Condition,Animal_2_Condition,Animal_3_Condition,Animal_4_Condition,Animal_5_Condition,Confidence_Condition,Animal_6_Condition
CAM35_2022Winter02576.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,15:56:28,Ok,FALSE,1,0,1,,3,,,,,2,
CAM35_2022Winter02577.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,15:56:30,Ok,FALSE,1,0,1,,3,,,,,2,
CAM35_2022Winter02578.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:06:38,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02579.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:06:41,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02580.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:06:43,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02581.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:08:00,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02582.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:08:00,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02583.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:09:06,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02584.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:09:06,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02585.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:09:17,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02586.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:09:17,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02587.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:09:34,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02588.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:09:34,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02589.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:09:47,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02590.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:09:47,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02591.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:10:02,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02592.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:10:02,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02593.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:10:16,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02594.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:10:16,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02595.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:10:40,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02596.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:10:40,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02597.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:11:13,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02598.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:11:13,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02599.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:11:22,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02600.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:11:22,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02601.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:11:30,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02602.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:11:30,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02603.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:11:39,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02604.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:11:39,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02605.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:11:50,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02606.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:11:50,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02607.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:12:11,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02608.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:12:11,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02609.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:12:21,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02610.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:12:21,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02611.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:13:32,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02612.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:13:32,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02613.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:14:38,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02614.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:14:38,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02615.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:16:18,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02616.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:16:18,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02617.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:16:27,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02618.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:16:27,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02619.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:17:15,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02620.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:17:15,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02621.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:17:29,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02622.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:17:29,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02623.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:17:58,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02624.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:17:58,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02625.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:18:25,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02626.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:18:25,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02627.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:18:32,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02628.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:18:32,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02629.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:19:39,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02630.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:19:39,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02631.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:20:04,Ok,FALSE,1,0,2,,3,,,,,2,
CAM35_2022Winter02632.JPG,C35,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,16:20:04,Ok,FALSE,1,0,2,,3,,,,,2,
CAM31_2022Winter00553.JPG,C31,Winter,2022,Winter22,Deer_BodyCond_DoeFawn,24-Dec-22,21:42:08,Ok,FALSE,2,0,0,unable to assess condition of second doe,2.5,,,,,3,
